n_samples,n_hidden,activation,training_time,val_loss,val_accuracy,val_precision,val_recall,test_loss,test_accuracy,test_precision,test_recall,val_f1,test_f1
7500,16,sigmoid,102.36624908447266,0.21631663262844086,0.9074161879221598,0.5142857128163265,0.37499999921875,0.20748055758962114,0.9138373136178713,0.4423076914571006,0.27380952348356014,0.4337349387138917,0.33823529362024224
3750,96,sigmoid,130.0966670513153,0.2065876442422745,0.9135308073781955,0.6999999930000002,0.4117647034602076,0.20944444259469028,0.9122957770207373,0.5185185165980796,0.16666666646825398,0.5185185146776407,0.2522522517977437
7500,32,sigmoid,91.58372902870178,0.21742100099722544,0.9082522622744242,0.33333332777777785,0.04166666657986111,0.2103699829122951,0.9119472290117236,0.49999999375,0.04761904756235828,0.07407407379972565,0.08695652155009452
1875,64,sigmoid,59.21941590309143,0.2274734669529807,0.91062059763398,0.0,0.0,0.22696414943512205,0.9100803204134905,0.0,0.0,,
1875,32,sigmoid,51.01742196083069,0.23020744463528142,0.908718925168011,0.0,0.0,0.22859872855389143,0.90927472803715,0.0,0.0,,
1875,96,sigmoid,51.186964988708496,0.2281133970027285,0.9105630050590043,0.0,0.0,0.23087565143458924,0.9068191112984078,0.0,0.0,,
3750,32,sigmoid,48.8182430267334,0.24012618329225063,0.9055782679809945,0.0,0.0,0.2384141715652931,0.9070359721126376,0.0,0.0,,
1000,32,sigmoid,35.590091943740845,0.25302053093910215,0.8965405344963073,0.0,0.0,0.24298444911346426,0.9018769387052202,0.0,0.0,,
1875,16,sigmoid,45.17489194869995,0.24341346692047647,0.9064715165319219,0.0,0.0,0.2447355387545001,0.9040536644397953,0.0,0.0,,
1000,16,sigmoid,40.722946882247925,0.2606531620025635,0.8921081304550171,0.0,0.0,0.2521193846398214,0.8987783866340022,0.0,0.0,,
3750,16,sigmoid,34.344337940216064,0.2760921268066618,0.889125783941639,0.0,0.0,0.2750490826636544,0.8891728995146332,0.0,0.0,,
1000,96,sigmoid,65.08139109611511,0.28657912611961367,0.8828107833862304,0.0,0.0,0.2803967417003979,0.8863765027605726,0.0,0.0,,
1000,64,sigmoid,33.90584707260132,0.29445452690124513,0.8736216068267822,0.0,0.0,0.2891613251672976,0.8751442504154642,0.0,0.0,,
30000,96,softmax,364.3821110725403,0.4587398779392242,0.8120468386014302,0.0,0.0,0.4590751758514212,0.8125305066104603,0.0,0.0,,
30000,32,softmax,328.43821382522583,0.4606439212958018,0.8120071999231975,0.0,0.0,0.4604061434521105,0.812522756947457,0.0,0.0,,
30000,64,softmax,331.57422399520874,0.461732280254364,0.8120144081115722,0.0,0.0,0.4607061906372042,0.8125305077038101,0.0,0.0,,
30000,16,softmax,266.22038197517395,0.4670839556058248,0.8120071999231975,0.0,0.0,0.4668794363079388,0.812522756947457,0.0,0.0,,
15000,64,softmax,253.95447087287903,0.4644575222333272,0.8114162111282348,0.0,0.0,0.46958940425996076,0.812522756947457,0.0,0.0,,
15000,32,softmax,210.12689518928528,0.46787909547487894,0.8114162111282348,0.0,0.0,0.47079336107648456,0.812522756947457,0.0,0.0,,
15000,16,softmax,170.3797059059143,0.47236293435096743,0.8114162111282348,0.0,0.0,0.47327543259965343,0.812522756947457,0.0,0.0,,
